
BOLSIG+ version: 12/2017
Collision input data:
--------------------------------------------------
N2                                                              
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        400.0    
Excitation temperature (K)                 400.0    
Transition energy (eV)                     0.000    
Ionization degree                         0.1000E-03
Plasma density (1/m3)                     0.1000E+20
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                           1.000    
 
 
0.4287	0.9326E+25
1.415	0.6621E+25
3.058	0.5511E+25
5.359	0.4739E+25
8.317	0.4157E+25
11.93	0.3687E+25
16.20	0.3306E+25
21.13	0.2989E+25
26.72	0.2720E+25
32.97	0.2503E+25
39.87	0.2313E+25
47.43	0.2147E+25
55.64	0.2006E+25
64.52	0.1888E+25
74.05	0.1792E+25
84.24	0.1717E+25
95.08	0.1658E+25
106.6	0.1612E+25
118.7	0.1574E+25
131.6	0.1541E+25
145.0	0.1510E+25
159.2	0.1482E+25
174.0	0.1456E+25
189.4	0.1431E+25
205.5	0.1407E+25
222.3	0.1384E+25
239.7	0.1362E+25
257.8	0.1341E+25
276.5	0.1321E+25
295.9	0.1301E+25
315.9	0.1283E+25
336.7	0.1265E+25
358.0	0.1247E+25
380.0	0.1230E+25
402.7	0.1214E+25
426.1	0.1198E+25
450.0	0.1183E+25
474.7	0.1168E+25
500.0	0.1153E+25
 
 
E/N (Td)	Energy diffusion coef. D*N (1/m/s)
0.1000	0.1151E+25
0.4287	0.1320E+25
1.415	0.1512E+25
3.058	0.1619E+25
5.359	0.1687E+25
8.317	0.1731E+25
11.93	0.1756E+25
16.20	0.1769E+25
21.13	0.1772E+25
26.72	0.1770E+25
32.97	0.1778E+25
39.87	0.1805E+25
47.43	0.1878E+25
55.64	0.2024E+25
64.52	0.2263E+25
74.05	0.2588E+25
84.24	0.2952E+25
95.08	0.3316E+25
106.6	0.3648E+25
118.7	0.3943E+25
131.6	0.4191E+25
145.0	0.4405E+25
159.2	0.4593E+25
174.0	0.4761E+25
189.4	0.4917E+25
205.5	0.5064E+25
222.3	0.5202E+25
239.7	0.5337E+25
257.8	0.5469E+25
276.5	0.5600E+25
295.9	0.5732E+25
315.9	0.5863E+25
336.7	0.5996E+25
358.0	0.6130E+25
380.0	0.6266E+25
402.7	0.6406E+25
426.1	0.6546E+25
450.0	0.6690E+25
474.7	0.6835E+25
500.0	0.6982E+25
 
 
E/N (Td)	Total collision freq. /N (m3/s)
0.1000	0.1100E-13
0.4287	0.1998E-13
1.415	0.2846E-13
3.058	0.3415E-13
5.359	0.3926E-13
8.317	0.4418E-13
11.93	0.4894E-13
16.20	0.5355E-13
21.13	0.5802E-13
26.72	0.6240E-13
32.97	0.6679E-13
39.87	0.7131E-13
47.43	0.7622E-13
55.64	0.8172E-13
64.52	0.8801E-13
74.05	0.9524E-13
84.24	0.1031E-12
95.08	0.1113E-12
106.6	0.1194E-12
118.7	0.1272E-12
131.6	0.1342E-12
145.0	0.1403E-12
159.2	0.1459E-12
174.0	0.1508E-12
189.4	0.1551E-12
205.5	0.1590E-12
222.3	0.1625E-12
239.7	0.1658E-12
257.8	0.1688E-12
276.5	0.1716E-12
295.9	0.1744E-12
315.9	0.1769E-12
336.7	0.1794E-12
358.0	0.1818E-12
380.0	0.1841E-12
402.7	0.1865E-12
426.1	0.1887E-12
450.0	0.1910E-12
474.7	0.1932E-12
500.0	0.1953E-12
 
 
E/N (Td)	Momentum frequency /N (m3/s)
0.1000	0.1667E-13
0.4287	0.2736E-13
1.415	0.3693E-13
3.058	0.4358E-13
5.359	0.4991E-13
8.317	0.5668E-13
11.93	0.6400E-13
16.20	0.7174E-13
21.13	0.8003E-13
26.72	0.8882E-13
32.97	0.9756E-13
39.87	0.1065E-12
47.43	0.1155E-12
55.64	0.1243E-12
64.52	0.1328E-12
74.05	0.1409E-12
84.24	0.1486E-12
95.08	0.1556E-12
106.6	0.1618E-12
118.7	0.1669E-12
131.6	0.1717E-12
145.0	0.1760E-12
159.2	0.1798E-12
174.0	0.1833E-12
189.4	0.1867E-12
205.5	0.1897E-12
222.3	0.1928E-12
239.7	0.1960E-12
257.8	0.1989E-12
276.5	0.2019E-12
295.9	0.2047E-12
315.9	0.2076E-12
336.7	0.2106E-12
358.0	0.2134E-12
380.0	0.2163E-12
402.7	0.2192E-12
426.1	0.2221E-12
450.0	0.2249E-12
474.7	0.2278E-12
500.0	0.2307E-12
 
 
E/N (Td)	Total ionization freq. /N (m3/s)
0.1000	0.000
0.4287	0.000
1.415	0.000
3.058	0.000
5.359	0.000
8.317	0.000
11.93	0.000
16.20	0.000
21.13	0.000
26.72	0.3524E-28
32.97	0.1478E-24
39.87	0.4859E-23
47.43	0.8561E-22
55.64	0.9075E-21
64.52	0.6531E-20
74.05	0.3457E-19
84.24	0.1404E-18
95.08	0.4600E-18
106.6	0.1256E-17
118.7	0.2968E-17
131.6	0.6180E-17
145.0	0.1167E-16
159.2	0.2038E-16
174.0	0.3339E-16
189.4	0.5189E-16
205.5	0.7720E-16
222.3	0.1107E-15
239.7	0.1538E-15
257.8	0.2080E-15
276.5	0.2749E-15
295.9	0.3560E-15
315.9	0.4525E-15
336.7	0.5659E-15
358.0	0.6977E-15
380.0	0.8492E-15
402.7	0.1022E-14
426.1	0.1216E-14
450.0	0.1433E-14
474.7	0.1674E-14
500.0	0.1940E-14
 
 
E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
